Fea001,Fea002,Fea003,Fea004,Fea005,Fea006,Fea007,Fea008,Fea009,Fea010,Fea011,Fea012,CPU1,Mem1,CPU2,Mem2
0,0,51,35,51,35,51,35,1,1,51,35,3.831672,17.230988,0.186542,11.119175
0,0,51,35,51,35,51,35,1,1,51,35,3.831672,17.230988,0.186542,11.119175
0,0,51,35,51,35,51,35,1,1,51,35,3.831672,17.230988,0.186542,11.119175
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,1,1,51,35,4.113659,17.226505,0.216818,11.120796
0,0,51,35,51,35,51,35,1,1,51,35,5.22899,17.225265,0.154564,11.116123
0,0,51,35,51,35,51,35,1,1,51,35,5.22899,17.225265,0.154564,11.116123
0,0,51,35,51,35,51,35,1,1,51,35,5.22899,17.225265,0.154564,11.116123
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,1,1,51,35,4.912811,17.222404,0.806848,11.128044
