Fea001|Fea002|Fea003|Fea004|Fea005|Fea006|Fea007|Fea008|Fea009|Fea010|Fea011|Fea012|Mem1|Mem2
0|0|51|35|51|35|51|35|5|5|255|175|17.234325|11.366177
0|0|51|35|51|35|51|35|5|5|255|175|17.234325|11.366177
0|0|51|35|51|35|51|35|5|5|255|175|17.234325|11.366177
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.226886999999998|11.310005
0|0|51|35|51|35|51|35|5|5|255|175|17.222786|11.378288000000001
0|0|51|35|51|35|51|35|5|5|255|175|17.222786|11.378288000000001
0|0|51|35|51|35|51|35|5|5|255|175|17.222786|11.378288000000001
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.847664
0|0|51|35|51|35|51|35|5|5|255|175|17.225265|11.128759
0|0|51|35|51|35|51|35|5|5|255|175|17.228556|11.366177
0|0|51|35|51|35|51|35|5|5|255|175|17.233849|11.380196
0|0|51|35|51|35|51|35|5|5|255|175|17.233849|11.380196
0|0|51|35|51|35|51|35|5|5|255|175|17.233849|11.380196
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|5|5|255|175|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.219734|11.297703
0|0|51|35|51|35|51|35|10|10|510|350|17.234420999999998|11.563683000000001
0|0|51|35|51|35|51|35|10|10|510|350|17.234420999999998|11.563683000000001
0|0|51|35|51|35|51|35|10|10|510|350|17.234420999999998|11.563683000000001
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.224979|11.024761
0|0|51|35|51|35|51|35|10|10|510|350|17.230605999999998|11.35397
0|0|51|35|51|35|51|35|10|10|510|350|17.22908|11.757469
0|0|51|35|51|35|51|35|10|10|510|350|17.22908|11.757469
0|0|51|35|51|35|51|35|10|10|510|350|17.22908|11.757469
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.225265|11.116123
0|0|51|35|51|35|51|35|10|10|510|350|17.232466|11.357307
0|0|51|35|51|35|51|35|10|10|510|350|17.229843|11.770821
0|0|51|35|51|35|51|35|10|10|510|350|17.229843|11.770821
0|0|51|35|51|35|51|35|10|10|510|350|17.229843|11.770821
0|0|51|35|51|35|51|35|10|10|510|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.219542999999998|11.167908
0|0|51|35|51|35|51|35|10|10|510|350|17.228317|11.380196
0|0|51|35|51|35|51|35|10|10|510|350|17.228507999999998|11.756325
0|0|51|35|51|35|51|35|10|10|510|350|17.228507999999998|11.756325
0|0|51|35|51|35|51|35|10|10|510|350|17.228507999999998|11.756325
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.225361|11.286067999999998
0|0|51|35|51|35|51|35|10|10|510|350|17.232751999999998|11.756325
0|0|51|35|51|35|51|35|10|10|510|350|17.232751999999998|11.767197
0|0|51|35|51|35|51|35|10|10|510|350|17.232751999999998|11.767197
0|0|51|35|51|35|51|35|10|10|510|350|17.232751999999998|11.767197
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.219734|11.297703
0|0|51|35|51|35|51|35|10|10|510|350|17.230415|11.768436
0|0|51|35|51|35|51|35|10|10|510|350|17.230415|11.768436
0|0|51|35|51|35|51|35|10|10|510|350|17.230415|11.768436
0|0|51|35|51|35|51|35|10|10|510|350|17.230415|11.768436
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.225838|11.304665
0|0|51|35|51|35|51|35|10|10|510|350|17.236805|11.768532
0|0|51|35|51|35|51|35|10|10|510|350|17.236805|11.768532
0|0|51|35|51|35|51|35|20|19|1020|665|17.236805|11.768532
0|0|51|35|51|35|51|35|10|10|510|350|17.236805|11.768532
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.84671
0|0|51|35|51|35|51|35|2|3|102|105|17.221165|10.84671
0|0|51|35|51|35|51|35|7|6|357|210|17.221165|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.225838|11.305428
0|0|51|35|51|35|51|35|10|10|510|350|17.236328|11.804771
0|0|51|35|51|35|51|35|10|9|510|315|17.236328|11.804771
0|0|51|35|51|35|51|35|10|9|510|315|17.236328|11.804771
0|0|51|35|51|35|51|35|10|10|510|350|17.227364|11.326217999999999
0|0|51|35|51|35|51|35|10|10|510|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|11|11|561|385|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|7|6|357|210|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|20|19|1020|665|17.229271|11.310005
